id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399,-117.12971,Entire home/apt,295,1,152,2019-02-11,1.15,1,1
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.7843,-117.25258,Entire home/apt,2050,3,0,,,2,157
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.73517,-117.24379,Entire home/apt,84,2,178,2015-11-02,1.49,1,0
38245,Conference Folks!   Room by NTC,164137,Melinda,,Roseville,32.74202,-117.2187,Private room,75,2,139,2019-01-16,1.33,3,295
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188,-117.11918,Entire home/apt,69,3,357,2019-04-07,3.36,1,220
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.8119,-117.26952,Private room,100,2,185,2019-04-07,1.84,5,158
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80734,-117.24243,Entire home/apt,68,2,492,2019-03-31,4.83,2,229
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.80961,-117.23056,Entire home/apt,75,1,543,2019-04-12,6.71,2,81
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76365,-117.07675,Entire home/apt,90,3,3,2015-07-13,0.06,5,116
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646,-117.25434,Entire home/apt,259,3,174,2019-04-03,1.75,1,277
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473,-117.14423,Private room,45,2,176,2019-03-28,1.87,2,193
77785,AVAILABLE FOR LONG TERM VACATION Old Town,417659,Alicia,,Old Town,32.7481,-117.19165,Private room,150,31,15,2018-09-15,1.07,1,83
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74594,-117.14406,Private room,50,2,148,2018-10-28,1.51,2,196
103416,"La Jolla Charm: Breakfast, Blks to Ocean",252692,Marsha,,La Jolla,32.81226,-117.26911,Private room,90,2,123,2019-03-05,1.28,5,108
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.8128,-117.26747,Private room,105,2,158,2019-04-07,1.69,5,95
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81253,-117.26772,Private room,105,2,123,2019-03-31,1.36,5,269
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74886,-117.16529,Private room,119,1,46,2019-02-25,0.49,7,223
