id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399315770342,-117.12970521881203,Entire home/apt,295,2,145,2018-07-29,1.17,1,5
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.784303617029266,-117.25257816779435,Entire home/apt,2050,3,0,,,2,312
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.7351704711383,-117.24379290273318,Entire home/apt,84,2,178,2015-11-02,1.60,1,0
14668,Close to Everything in San Diego,57636,Mary,,Mira Mesa,32.93110404721571,-117.1526853433049,Private room,72,3,187,2018-08-15,1.81,1,258
38245,Downstairs Den: Point Loma by NTC,164137,Melinda,,Roseville,32.74201976865927,-117.21870072593775,Private room,75,1,136,2018-07-21,1.41,3,281
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188418150422,-117.11917957434842,Entire home/apt,69,3,329,2018-08-08,3.35,1,264
45429,OB cottage SD--view on waterway,197919,Melissa,,Loma Portal,32.7487679973118,-117.22937142181797,Entire home/apt,160,2,6,2014-07-28,0.06,1,320
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.81189590721113,-117.26951601303068,Private room,135,2,161,2018-08-12,1.74,4,217
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80733698697225,-117.24243215711864,Entire home/apt,68,2,441,2018-08-01,4.70,2,247
62949,Pacific Beach Cozy Unit Best Deal with Bikes!,21532,Lisa,,Pacific Beach,32.809612452745846,-117.23056253093335,Entire home/apt,75,1,458,2018-08-14,6.29,2,103
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76364835660581,-117.07674896914631,Entire home/apt,90,3,3,2015-07-13,0.08,5,194
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646395716654,-117.25433775416728,Entire home/apt,250,3,158,2018-08-04,1.73,1,307
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473038003413,-117.14423422332024,Private room,50,2,162,2018-07-30,1.88,2,186
77785,Old Town San Diego,417659,Alicia,,Old Town,32.74810234662975,-117.19165160721597,Entire home/apt,150,3,12,2018-08-01,2.03,1,22
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74593830956939,-117.14405855715182,Private room,59,2,145,2018-07-22,1.61,2,229
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.81280284525836,-117.26746980511409,Private room,125,2,141,2018-08-12,1.65,4,179
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81252881409879,-117.26772180063236,Private room,145,2,106,2018-07-30,1.29,4,217
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.748859514486064,-117.16528696036016,Private room,139,1,44,2018-08-05,0.51,6,225
103841,Peaceful & Private Bedroom/Bath,541128,Flo,,North City,32.959230474247654,-117.23284248563066,Private room,59,2,78,2018-08-06,0.89,1,291
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,,Pacific Beach,32.79659724153863,-117.25328656996963,Entire home/apt,209,2,110,2018-07-30,1.30,2,320
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.81069700784459,-117.26109190394232,Private room,89,1,163,2016-06-27,1.93,3,0
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.7975734999002,-117.24740397617356,Entire home/apt,178,3,14,2017-08-06,0.16,1,359
