id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5570,Ocean front condo on the sand,8435,Jef Karchin,,Mission Bay,32.7843,-117.25258,Entire home/apt,2050,3,0,,,3,191
8488,Juniper Zen Palace- SD's Best Hood!,25186,Helene,,South Park,32.72839,-117.12824,Entire home/apt,225,3,43,2020-02-04,0.38,2,54
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80724,-117.2563,Entire home/apt,225,4,60,2018-08-09,0.51,5,266
38245,Point Loma: Den downstairs,164137,Melinda,,Roseville,32.74202,-117.2187,Private room,75,1,143,2019-10-20,1.24,3,307
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188,-117.11918,Entire home/apt,74,3,394,2020-02-12,3.37,1,295
54001,La Jolla  Grdn View + Sitting Rm; Lng Trm Possible,252692,Marsha,,La Jolla,32.81301,-117.26856,Private room,80,2,217,2020-02-19,1.95,4,310
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80734,-117.24243,Entire home/apt,68,2,551,2020-02-13,4.91,2,227
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.80961,-117.23056,Entire home/apt,75,1,642,2020-02-18,7.03,2,31
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76365,-117.07675,Entire home/apt,90,3,3,2015-07-13,0.05,5,2
69385,$229/nt until 2/29/2020!  30-Seconds to the Beach!,347408,Kimberly,,Mission Bay,32.78646,-117.25434,Entire home/apt,249,3,192,2020-01-03,1.75,1,258
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473,-117.14423,Private room,45,2,192,2020-01-12,1.84,2,237
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74594,-117.14406,Private room,50,2,153,2019-12-19,1.41,2,255
103416,"La Jolla: Step into a Lifestyle, Not Just a Room",252692,Marsha,,La Jolla,32.81287,-117.26926,Private room,65,2,124,2020-02-16,1.17,4,204
103417,La Jolla Retreat-Step Into a Lifestyle,252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,87,2,200,2020-02-12,1.93,4,204
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.8135,-117.26857,Private room,90,2,146,2020-01-06,1.45,4,112
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Private room,99,1,52,2020-02-06,0.50,8,253
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",541128,Flo,,North City,32.95923,-117.23284,Private room,59,2,113,2020-01-26,1.06,1,61
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,209,2,145,2020-01-16,1.40,2,305
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.8107,-117.26109,Private room,89,1,170,2019-07-21,1.81,3,0
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.79757,-117.2474,Entire home/apt,178,3,19,2019-08-02,0.18,1,341
123990,Laid-Back Luxe San Diego,479932,Amber,,Rancho Penasquitos,32.99091,-117.16673,Entire home/apt,525,7,9,2019-10-25,0.09,1,204
126344,"Tourmaline House - Steps to Beach, Pet-Friendly",546519,Juliana,,Pacific Beach,32.80572,-117.25936,Entire home/apt,221,2,146,2020-02-01,1.44,2,200
132966,Water View Studio in Pacific Beach!,555739,Rosana,,Pacific Beach,32.80855,-117.2584,Entire home/apt,75,28,23,2020-02-01,0.26,1,239
134731,Open - Studio Ocean View( farmers open Jan 22-27),660996,Kathy,,Del Mar Heights,32.93446,-117.24833,Private room,109,3,40,2020-01-14,0.43,2,51
146886,"Downtown, Spacious and Bright with Balcony!",710122,Kelly,,Grant Hill,32.70803,-117.14341,Entire home/apt,79,7,19,2019-06-08,0.19,12,266
149548,Mission Bay Getaway - Near beaches!,721326,Olivia,,Bay Park,32.80157,-117.20093,Private room,49,3,190,2020-02-03,1.83,3,194
149565,Comic-Con ROOM in Mission Bay area house,721326,Olivia,,Bay Park,32.80142,-117.2014,Private room,65,3,43,2019-07-21,0.41,3,0
161818,Great Neighborhood-1 Bedroom in a 3 BR house. .,773869,Steve And Kyle(She'S A Girl),,Kensington,32.77164,-117.10017,Private room,79,28,64,2020-02-21,0.62,2,333
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75173,-117.15284,Entire home/apt,125,2,589,2020-02-19,5.66,2,279
166787,Bay View Studio Condo in La Playa,731698,Karen,,Wooded Area,32.71908,-117.23071,Entire home/apt,75,30,107,2019-12-02,1.11,1,74
167022,Room and bath in home near beach.,795905,Franz,,Mission Bay,32.79487,-117.23433,Private room,50,2,207,2020-02-09,1.97,3,28
167760,Traveler's Haven - Central to all!,799669,Mary,,Mira Mesa,32.91104,-117.1302,Private room,48,4,71,2019-04-30,0.68,2,51
167804,"Mission Bay Retreat Studio, near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80041,-117.20152,Private room,49,3,61,2020-01-08,0.66,3,142
168415,Travel Twin Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,49,5,62,2020-01-13,0.59,8,83
170421,Traveler's Haven 2 - Central to all,799669,Mary,,Mira Mesa,32.91123,-117.13099,Private room,55,2,53,2019-07-31,0.51,2,51
