id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399315770342,-117.12970521881203,Entire home/apt,295,2,149,2018-10-07,1.16,1,4
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.784303617029266,-117.25257816779435,Entire home/apt,2050,3,0,,,2,342
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.7351704711383,-117.24379290273318,Entire home/apt,84,2,178,2015-11-02,1.53,1,0
38245,Conference Folks!   Room by NTC,164137,Melinda,,Roseville,32.74201976865927,-117.21870072593775,Private room,75,2,139,2019-01-16,1.37,3,218
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188418150422,-117.11917957434842,Entire home/apt,69,3,346,2019-01-08,3.34,1,282
52286,Surf Rider Ocean Front Condo,215810,Heather,,Mission Bay,32.777837621476394,-117.25354531184941,Entire home/apt,295,3,0,,,1,86
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.81189590721113,-117.26951601303068,Private room,93,2,177,2019-01-13,1.81,5,236
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80733698697225,-117.24243215711864,Entire home/apt,68,2,474,2019-01-02,4.79,2,236
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.809612452745846,-117.23056253093335,Entire home/apt,75,1,517,2019-01-11,6.63,2,125
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76364835660581,-117.07674896914631,Entire home/apt,90,3,3,2015-07-13,0.07,5,17
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646395716654,-117.25433775416728,Entire home/apt,250,3,167,2019-01-08,1.73,1,285
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473038003413,-117.14423422332024,Private room,45,2,173,2019-01-02,1.90,2,227
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74593830956939,-117.14405855715182,Private room,50,2,148,2018-10-28,1.55,2,241
103416,"La Jolla Charm: Breakfast, Blks to Ocean",252692,Marsha,,La Jolla,32.812264883622056,-117.26911091398682,Private room,90,2,122,2017-10-11,1.31,5,69
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.81280284525836,-117.26746980511409,Private room,105,2,145,2018-09-30,1.60,5,72
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81252881409879,-117.26772180063236,Private room,115,2,115,2019-01-04,1.31,5,142
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.748859514486064,-117.16528696036016,Private room,169,1,44,2018-08-05,0.48,6,91
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",541128,Flo,,North City,32.959230474247654,-117.23284248563066,Private room,59,2,90,2018-12-16,0.97,1,237
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,,Pacific Beach,32.79659724153863,-117.25328656996963,Entire home/apt,209,2,117,2018-12-09,1.30,2,301
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.81069700784459,-117.26109190394232,Private room,89,1,163,2016-06-27,1.82,3,0
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.7975734999002,-117.24740397617356,Entire home/apt,178,3,16,2018-09-23,0.17,1,272
123990,Laid-Back Luxe San Diego,479932,Amber,,Rancho Penasquitos,32.990910111031695,-117.16672587910782,Entire home/apt,475,5,8,2018-07-12,0.09,1,363
126344,3Br House 2 Blocks to Beach Pets Ok,546519,Juliana,,Pacific Beach,32.80571602133541,-117.25935912178224,Entire home/apt,221,2,128,2019-01-07,1.46,2,244
132966,Water View Studio in Pacific Beach!,555739,Rosana,,Pacific Beach,32.8085465316228,-117.25839672238479,Entire home/apt,70,30,18,2018-08-31,0.24,1,155
141523,"Private spot, 2 blocks to dog beach!  Walk to all!",686496,Matt And Toni,,Ocean Beach,32.75067747506709,-117.24653813584499,Entire home/apt,115,2,301,2018-12-31,3.32,2,67
146886,"Downtown, Spacious and Bright with Balcony!",710122,Kelly,,Grant Hill,32.7080337179801,-117.14340544315156,Entire home/apt,79,7,15,2018-12-19,0.18,12,109
149548,Mission Bay Getaway - Near beaches!,721326,Olivia,,Bay Park,32.80156526230074,-117.20092898682408,Private room,49,3,158,2018-12-16,1.75,2,158
161818,Great Neighborhood-1 Bedroom in a 3 BR house. .,773869,Steve And Kyle(She'S A Girl),,Kensington,32.77163717428678,-117.10017159928219,Private room,79,28,50,2017-10-09,0.55,1,363
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75173353787599,-117.1528379871156,Entire home/apt,135,2,472,2019-01-15,5.20,2,252
166787,Bay View Studio Condo in La Playa,731698,Karen,,Wooded Area,32.71907570617253,-117.23071039412727,Entire home/apt,75,30,105,2018-11-16,1.27,1,56
167022,Room and bath in home near beach.,795905,Franz,,Mission Bay,32.79486890795388,-117.23433388663642,Private room,50,2,158,2019-01-14,1.73,3,11
167760,Traveler's Haven - Central to all!,799669,Mary,,Mira Mesa,32.91103543187029,-117.13019944909972,Private room,48,4,68,2018-11-22,0.75,2,259
167804,"Mission Bay Retreat Studio, Near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80040960588014,-117.20151696639253,Private room,49,3,45,2019-01-01,0.57,2,134
168415,Travel Twin Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78248320336414,-117.1594247535671,Private room,58,4,58,2018-12-03,0.64,8,266
170421,Traveler's Haven 2 - Central to all,799669,Mary,,Mira Mesa,32.91122712035955,-117.13099093462203,Private room,55,4,51,2018-07-17,0.56,2,200
170741,Ocean Front Penthouse Condominum,644144,John,,Ocean Beach,32.73821650064435,-117.25367595647936,Entire home/apt,176,25,3,2018-12-03,0.29,1,365
171212,Entire 3BR Condo Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94662855635847,-117.23243783065581,Entire home/apt,175,29,20,2018-12-28,0.28,1,292
172519,Upstairs Room/Pt. Loma,164137,Melinda,,Roseville,32.74129128920331,-117.21852804540315,Private room,90,2,52,2018-09-03,0.57,3,156
174015,Beach Hide Out,831158,Özlem,,Mission Bay,32.78332898763352,-117.25262066869242,Entire home/apt,145,1,367,2019-01-07,4.04,2,292
175119,"Private bed&bath, All Welcome",836963,Kevin,,Talmadge,32.76492680959272,-117.08814666943688,Private room,71,1,93,2018-09-02,1.02,1,130
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.772455988956104,-117.2023322485758,Entire home/apt,89,3,140,2019-01-01,1.56,1,324
179884,Mission Beach Contemporary Home,753381,Denise,,Mission Bay,32.77528021065921,-117.25273747882672,Entire home/apt,390,3,70,2018-12-27,0.97,1,327
181283,"$110/Convent Ctr, Zoo, History museum, downtown #3",861297,Ron,,Balboa Park,32.716381604794385,-117.13811385482256,Entire home/apt,110,2,32,2018-11-24,0.40,9,298
182428,Adorable Newly Renovated Studio 5- 1block to Ocean,874515,Luke,,Mission Bay,32.76473873181033,-117.2515997173524,Entire home/apt,99,3,3,2016-03-24,0.05,26,333
182504,Sunny San Diego Home *5 Stars!*,874971,StellaRichard,,Midtown,32.74281595658574,-117.16662715083443,Entire home/apt,175,3,209,2019-01-05,2.31,1,104
182555,Nice Guest Bedroom w/Private Bathroom (North Park),31656,Jared,,North Hills,32.750592447680795,-117.13916398949362,Private room,250,1,5,2014-09-20,0.06,3,365
184238,"Ocean Beach, garage parking, hot tub, Ocean VIEWS!",883704,Scott,,Loma Portal,32.740977107850185,-117.24471021123125,Entire home/apt,155,2,224,2019-01-13,2.48,1,306
189785,"Ocean views in North PB! 
Block to beach and surf.",915738,Jeff,,La Jolla,32.81014538662965,-117.2680412225586,Private room,95,10,27,2019-01-06,0.44,1,179
190179,Bohemian Beach House,831158,Özlem,,Mission Bay,32.782482245599724,-117.25168616608298,Entire home/apt,215,2,127,2019-01-01,1.44,2,337
190225,Charming La Jolla Home with pool,918513,Elizabeth,,La Jolla,32.840609193695194,-117.26901620516257,Entire home/apt,495,3,97,2018-12-09,1.19,1,193
193286,"Amazing views, pool & waterslides.",937242,April,,Pacific Beach,32.815387734206446,-117.22845466243783,Private room,795,3,4,2018-08-07,0.12,1,125
