id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399,-117.12971,Entire home/apt,295,1,152,2019-02-11,1.13,1,1
5570,Ocean front condo on the sand,8435,Jef Karchin,,Mission Bay,32.7843,-117.25258,Entire home/apt,2050,3,0,,,2,184
38245,Point Loma/Liberty Station-NTC,164137,Melinda,,Roseville,32.74202,-117.2187,Private room,75,2,139,2019-01-16,1.29,3,351
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188,-117.11918,Entire home/apt,74,3,369,2019-07-08,3.37,1,269
52286,Surf Rider Ocean Front Condo in Mission Beach,215810,Heather,,Mission Bay,32.77784,-117.25355,Entire home/apt,550,7,0,,,1,53
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.8119,-117.26952,Private room,110,2,199,2019-06-25,1.92,5,326
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80734,-117.24243,Entire home/apt,68,2,510,2019-06-27,4.87,2,262
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.80961,-117.23056,Entire home/apt,75,1,574,2019-07-08,6.84,2,113
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76365,-117.07675,Entire home/apt,90,3,3,2015-07-13,0.06,5,2
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646,-117.25434,Entire home/apt,479,3,179,2019-06-16,1.75,1,306
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473,-117.14423,Private room,45,2,183,2019-06-09,1.89,2,173
77785,AVAILABLE FOR LONG TERM VACATION Old Town,417659,Alicia,,Old Town,32.7481,-117.19165,Private room,150,31,20,2018-09-15,0.90,1,0
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74594,-117.14406,Private room,50,2,149,2019-06-02,1.47,2,144
103416,"La Jolla Charm: Breakfast, Blks to Ocean",252692,Marsha,,La Jolla,32.81226,-117.26911,Private room,90,2,123,2019-03-05,1.24,5,194
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.8128,-117.26747,Private room,105,2,170,2019-06-13,1.76,5,322
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81253,-117.26772,Private room,115,2,134,2019-06-15,1.43,5,298
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74886,-117.16529,Private room,119,1,48,2019-06-10,0.49,7,317
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",541128,Flo,,North City,32.95923,-117.23284,Private room,59,2,102,2019-06-10,1.03,1,51
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,,Pacific Beach,32.7966,-117.25329,Entire home/apt,209,2,131,2019-06-21,1.37,2,316
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.8107,-117.26109,Private room,89,1,170,2019-04-23,1.96,3,0
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.79757,-117.2474,Entire home/apt,178,3,17,2019-06-20,0.17,1,342
126344,3Br House 2 Blocks to Beach Pets Ok,546519,Juliana,,Pacific Beach,32.80572,-117.25936,Entire home/apt,221,2,136,2019-06-09,1.45,2,201
132966,Water View Studio in Pacific Beach!,555739,Rosana,,Pacific Beach,32.80855,-117.2584,Entire home/apt,70,30,19,2019-06-15,0.23,1,200
134731,Studio Ocean & Lagoon Views,660996,Kathy,,Del Mar Heights,32.93446,-117.24833,Private room,149,3,40,2019-07-12,0.44,2,194
146886,"Downtown, Spacious and Bright with Balcony!",710122,Kelly,,Grant Hill,32.70803,-117.14341,Entire home/apt,79,7,19,2019-06-08,0.21,12,278
149548,Mission Bay Getaway - Near beaches!,721326,Olivia,,Bay Park,32.80157,-117.20093,Private room,49,3,176,2019-06-28,1.82,3,155
149565,Comic-Con ROOM in Mission Bay area house,721326,Olivia,,Bay Park,32.80142,-117.2014,Private room,65,3,42,2017-07-26,0.43,3,6
161818,Great Neighborhood-1 Bedroom in a 3 BR house. .,773869,Steve And Kyle(She'S A Girl),,Kensington,32.77164,-117.10017,Private room,79,28,50,2019-03-21,0.56,2,328
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75173,-117.15284,Entire home/apt,125,2,530,2019-07-07,5.48,2,276
166787,Bay View Studio Condo in La Playa,731698,Karen,,Wooded Area,32.71908,-117.23071,Entire home/apt,75,30,105,2018-11-16,1.18,1,41
167022,Room and bath in home near beach.,795905,Franz,,Mission Bay,32.79487,-117.23433,Private room,50,2,178,2019-07-05,1.83,3,8
167760,Traveler's Haven - Central to all!,799669,Mary,,Mira Mesa,32.91104,-117.1302,Private room,48,4,71,2019-04-30,0.73,2,194
167804,"Mission Bay Retreat Studio, Near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80041,-117.20152,Private room,49,3,48,2019-06-28,0.57,3,150
