id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399,-117.12971,Entire home/apt,295,1,152,2019-02-11,1.16,1,1
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.7843,-117.25258,Entire home/apt,2050,3,0,,,2,360
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.73517,-117.24379,Entire home/apt,84,2,178,2015-11-02,1.51,1,0
38245,Conference Folks!   Room by NTC,164137,Melinda,,Roseville,32.74202,-117.2187,Private room,75,2,139,2019-01-16,1.34,3,260
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188,-117.11918,Entire home/apt,69,3,352,2019-03-08,3.34,1,219
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.8119,-117.26952,Private room,93,2,182,2019-02-18,1.83,5,205
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80734,-117.24243,Entire home/apt,68,2,482,2019-02-24,4.79,2,225
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.80961,-117.23056,Entire home/apt,75,1,529,2019-03-04,6.63,2,78
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76365,-117.07675,Entire home/apt,90,3,3,2015-07-13,0.07,5,80
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646,-117.25434,Entire home/apt,250,3,172,2019-03-04,1.75,1,256
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473,-117.14423,Private room,45,2,174,2019-02-13,1.87,2,190
77785,AVAILABLE FOR LONG TERM VACATION Old Town,417659,Alicia,,Old Town,32.7481,-117.19165,Private room,150,31,15,2018-09-15,1.17,1,69
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74594,-117.14406,Private room,50,2,148,2018-10-28,1.52,2,180
103416,"La Jolla Charm: Breakfast, Blks to Ocean",252692,Marsha,,La Jolla,32.81226,-117.26911,Private room,90,2,123,2019-03-05,1.30,5,73
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.8128,-117.26747,Private room,105,2,153,2019-02-24,1.66,5,120
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81253,-117.26772,Private room,105,2,119,2019-03-05,1.33,5,142
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74886,-117.16529,Private room,109,1,46,2019-02-25,0.49,6,261
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",541128,Flo,,North City,32.95923,-117.23284,Private room,59,2,94,2019-03-08,0.99,1,71
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,,Pacific Beach,32.7966,-117.25329,Entire home/apt,209,2,121,2019-03-08,1.32,2,282
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.8107,-117.26109,Private room,89,1,163,2016-06-27,1.78,3,0
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.79757,-117.2474,Entire home/apt,178,3,16,2018-09-23,0.17,1,325
126344,3Br House 2 Blocks to Beach Pets Ok,546519,Juliana,,Pacific Beach,32.80572,-117.25936,Entire home/apt,221,2,132,2019-03-09,1.47,2,185
