id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399,-117.12971,Entire home/apt,295,1,152,2019-02-11,1.14,1,1
5570,Ocean front condo on the sand,8435,Jef Karchin,,Mission Bay,32.7843,-117.25258,Entire home/apt,2050,3,0,,,2,183
38245,Conference Folks!   Room by NTC,164137,Melinda,,Roseville,32.74202,-117.2187,Private room,75,2,139,2019-01-16,1.31,3,318
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188,-117.11918,Entire home/apt,69,3,360,2019-05-05,3.35,1,239
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.8119,-117.26952,Private room,100,2,191,2019-05-16,1.87,5,289
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80734,-117.24243,Entire home/apt,68,2,499,2019-05-01,4.85,2,235
62949,Pacific Beach Cozy Private Unit Bikes Included,21532,Lisa,,Pacific Beach,32.80961,-117.23056,Entire home/apt,75,1,556,2019-05-15,6.78,2,86
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76365,-117.07675,Entire home/apt,90,3,3,2015-07-13,0.06,5,6
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646,-117.25434,Entire home/apt,259,3,177,2019-04-29,1.76,1,273
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473,-117.14423,Private room,45,2,179,2019-04-30,1.88,2,202
77785,AVAILABLE FOR LONG TERM VACATION Old Town,417659,Alicia,,Old Town,32.7481,-117.19165,Private room,150,31,20,2018-09-15,0.99,1,0
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74594,-117.14406,Private room,50,2,148,2018-10-28,1.49,2,188
103416,"La Jolla Charm: Breakfast, Blks to Ocean",252692,Marsha,,La Jolla,32.81226,-117.26911,Private room,90,2,123,2019-03-05,1.27,5,137
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.8128,-117.26747,Private room,105,2,163,2019-05-14,1.73,5,303
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81253,-117.26772,Private room,105,2,127,2019-05-05,1.39,5,260
