id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399315770342,-117.12970521881203,Entire home/apt,295,2,149,2018-10-07,1.18,1,20
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.784303617029266,-117.25257816779435,Entire home/apt,2050,3,0,,,2,328
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.7351704711383,-117.24379290273318,Entire home/apt,84,2,178,2015-11-02,1.56,1,0
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188418150422,-117.11917957434842,Entire home/apt,69,3,338,2018-11-07,3.33,1,273
45429,OB cottage SD--view on waterway,197919,Melissa,,Loma Portal,32.7487679973118,-117.22937142181797,Entire home/apt,160,2,6,2014-07-28,0.06,1,363
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.81189590721113,-117.26951601303068,Private room,105,2,174,2018-10-28,1.82,4,304
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80733698697225,-117.24243215711864,Entire home/apt,68,2,460,2018-10-30,4.75,2,249
62949,Pacific Beach Cozy Bright Private Unit w Bikes,21532,Lisa,,Pacific Beach,32.809612452745846,-117.23056253093335,Entire home/apt,75,1,498,2018-11-10,6.56,2,119
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76364835660581,-117.07674896914631,Entire home/apt,90,3,3,2015-07-13,0.07,5,285
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646395716654,-117.25433775416728,Entire home/apt,250,3,162,2018-10-29,1.72,1,296
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473038003413,-117.14423422332024,Private room,50,2,168,2018-10-28,1.89,2,204
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74593830956939,-117.14405855715182,Private room,59,2,148,2018-10-28,1.59,2,230
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.81280284525836,-117.26746980511409,Private room,125,2,145,2018-09-30,1.64,4,79
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81252881409879,-117.26772180063236,Private room,115,2,113,2018-11-12,1.32,4,160
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.748859514486064,-117.16528696036016,Private room,119,1,44,2018-08-05,0.49,6,148
