id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399315770342,-117.12970521881203,Entire home/apt,295,2,148,2018-09-23,1.18,1,15
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.784303617029266,-117.25257816779435,Entire home/apt,2050,3,0,,,2,328
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.7351704711383,-117.24379290273318,Entire home/apt,84,2,178,2015-11-02,1.58,1,0
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188418150422,-117.11917957434842,Entire home/apt,69,3,334,2018-09-08,3.33,1,275
45429,OB cottage SD--view on waterway,197919,Melissa,,Loma Portal,32.7487679973118,-117.22937142181797,Entire home/apt,160,2,6,2014-07-28,0.06,1,363
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.81189590721113,-117.26951601303068,Private room,105,2,172,2018-10-09,1.82,4,293
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80733698697225,-117.24243215711864,Entire home/apt,68,2,454,2018-09-20,4.75,2,251
62949,Pacific Beach Cozy Unit Best Deal with Bikes!,21532,Lisa,,Pacific Beach,32.809612452745846,-117.23056253093335,Entire home/apt,75,1,487,2018-10-09,6.52,2,121
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76364835660581,-117.07674896914631,Entire home/apt,90,3,3,2015-07-13,0.07,5,250
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646395716654,-117.25433775416728,Entire home/apt,250,3,161,2018-10-09,1.73,1,311
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473038003413,-117.14423422332024,Private room,50,2,165,2018-09-21,1.88,2,223
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74593830956939,-117.14405855715182,Private room,59,2,145,2018-07-22,1.58,2,238
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.81280284525836,-117.26746980511409,Private room,125,2,145,2018-09-30,1.66,4,88
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81252881409879,-117.26772180063236,Private room,115,2,111,2018-10-05,1.32,4,180
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.748859514486064,-117.16528696036016,Private room,169,1,44,2018-08-05,0.50,6,184
103841,Peaceful & Private Bedroom/Bath,541128,Flo,,North City,32.959230474247654,-117.23284248563066,Private room,59,2,84,2018-10-07,0.94,1,297
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,,Pacific Beach,32.79659724153863,-117.25328656996963,Entire home/apt,209,2,114,2018-09-30,1.31,2,319
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.81069700784459,-117.26109190394232,Private room,89,1,163,2016-06-27,1.89,3,0
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.7975734999002,-117.24740397617356,Entire home/apt,178,3,16,2018-09-23,0.18,1,174
126344,3Br House 2 Blocks to Beach Pets Ok,546519,Juliana,,Pacific Beach,32.80571602133541,-117.25935912178224,Entire home/apt,221,2,124,2018-08-25,1.47,2,237
132966,Water View Studio in Pacific Beach!,555739,Rosana,,Pacific Beach,32.8085465316228,-117.25839672238479,Entire home/apt,70,30,18,2018-08-31,0.25,1,193
141523,"Private spot, 2 blocks to dog beach!  Walk to all!",686496,Matt And Toni,,Ocean Beach,32.75067747506709,-117.24653813584499,Entire home/apt,115,2,291,2018-09-24,3.33,2,42
146886,"Downtown, Spacious and Bright with Balcony!",710122,Kelly,,Grant Hill,32.7080337179801,-117.14340544315156,Entire home/apt,79,7,13,2018-04-18,0.16,11,191
149548,Mission Bay Getaway - Near beaches!,721326,Olivia,,Bay Park,32.80156526230074,-117.20092898682408,Private room,49,3,154,2018-09-26,1.76,2,157
161818,Mission Hills Lovely Home on a Quiet Canyon,773869,Steve And Kyle(She'S A Girl),,Midtown,32.74182517428678,-117.17874659928219,Private room,79,28,50,2017-10-09,0.57,2,344
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75173353787599,-117.1528379871156,Entire home/apt,125,2,452,2018-10-08,5.17,2,226
166787,Bay View Studio Condo in La Playa,731698,Karen,,Wooded Area,32.71907570617253,-117.23071039412727,Entire home/apt,75,30,103,2018-07-27,1.30,1,90
167022,Room and bath in home near beach.,795905,Franz,,Mission Bay,32.79486890795388,-117.23433388663642,Private room,55,2,156,2018-08-04,1.77,3,0
167760,Traveler's Haven - Central to all!,799669,Mary,,Mira Mesa,32.91103543187029,-117.13019944909972,Private room,50,4,66,2018-08-19,0.75,2,344
167804,"Mission Bay Retreat Studio, Near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80040960588014,-117.20151696639253,Private room,49,3,37,2018-09-15,0.49,2,169
168415,Artist Retreat Travel Twin room- pool home,766039,Pamela,,Bird Land,32.78248320336414,-117.1594247535671,Private room,65,4,56,2018-07-22,0.64,8,86
170421,Traveler's Haven 2 - Central to all,799669,Mary,,Mira Mesa,32.91122712035955,-117.13099093462203,Private room,50,4,51,2018-07-17,0.58,2,269
170741,Ocean Front Penthouse Condominum,644144,John,,Ocean Beach,32.73821650064435,-117.25367595647936,Entire home/apt,219,25,2,2018-07-05,0.28,2,314
171212,Entire 3BR Condo Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94662855635847,-117.23243783065581,Entire home/apt,180,30,19,2018-03-31,0.28,1,195
172062,Epic Gaslamp Loft *Short Walk to Comic-Con*,773869,Steve And Kyle(She'S A Girl),,Normal Heights,32.759431170184115,-117.1208304686587,Entire home/apt,750,1,2,2015-08-23,0.05,2,365
174015,Beach Hide Out,831158,Özlem,,Mission Bay,32.78332898763352,-117.25262066869242,Entire home/apt,145,1,353,2018-10-09,4.03,2,323
175119,"Private bed&bath, All Welcome",836963,Kevin,,Talmadge,32.76492680959272,-117.08814666943688,Private room,71,1,93,2018-09-02,1.06,1,255
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.772455988956104,-117.2023322485758,Entire home/apt,89,3,132,2018-09-26,1.53,1,332
179884,Mission Beach Contemporary Home,753381,Denise,,Mission Bay,32.77528021065921,-117.25273747882672,Entire home/apt,390,3,65,2018-09-23,0.95,1,339
181283,Tropical Ambiance 3 min to Town #3,861297,Ron,,Balboa Park,32.716381604794385,-117.13811385482256,Entire home/apt,99,2,30,2018-05-02,0.39,9,313
182428,Adorable Newly Renovated Studio 5- 1block to Ocean,874515,Luke,,Mission Bay,32.76473873181033,-117.2515997173524,Entire home/apt,125,3,3,2016-03-24,0.05,26,327
182504,Sunny San Diego Home *5 Stars!*,874971,Stella,,Midtown,32.74281595658574,-117.16662715083443,Entire home/apt,175,3,201,2018-09-26,2.30,1,83
182555,Nice Guest Bedroom w/Private Bathroom (North Park),31656,Jared,,North Hills,32.750592447680795,-117.13916398949362,Private room,250,1,5,2014-09-20,0.07,3,365
184238,"Ocean Beach, garage parking, hot tub, Ocean VIEWS!",883704,Scott,,Loma Portal,32.740977107850185,-117.24471021123125,Entire home/apt,155,2,214,2018-10-10,2.45,1,286
189785,Beach block ocean view in North PB!,915738,Jeff,,La Jolla,32.81014538662965,-117.2680412225586,Private room,95,5,25,2018-09-24,0.44,1,165
190179,Bohemian Beach House,831158,Özlem,,Mission Bay,32.782482245599724,-117.25168616608298,Entire home/apt,215,2,125,2018-10-07,1.47,2,358
190225,Charming La Jolla Home with pool/spa; sleeps 14,918513,Paige,,La Jolla,32.840609193695194,-117.26901620516257,Entire home/apt,495,3,93,2018-09-23,1.19,1,164
193286,"Amazing views, pool & waterslides.",937242,April,,Pacific Beach,32.815387734206446,-117.22845466243783,Private room,795,3,4,2018-08-07,0.14,1,158
193334,"Minutes to the beach, SeaWorld, Zoo",937246,Mark,,Kearny Mesa,32.836425580739984,-117.1688954846806,Private room,38,3,188,2018-10-01,2.16,2,74
193368,Close to Comic-Con San Diego,937246,Mark,,North Clairemont,32.83509044455777,-117.17007296984656,Private room,85,3,10,2018-07-22,0.11,2,80
204211,Fabulous San Diego Home by La Jolla,1002692,Ethan,,University City,32.85359036246474,-117.2134993570451,Entire home/apt,525,7,20,2018-07-06,0.24,1,111
204718,Friendly Clean Room/Mission Bay,1005583,Tanja,,Bay Park,32.78477850486293,-117.20590852840432,Private room,59,1,677,2018-10-09,8.21,5,326
205703,"BEST LOCATION, BEST PRICE IN S.D.",874159,Filbert,,Midtown,32.746316368389365,-117.15076844482859,Entire home/apt,80,3,272,2018-07-23,3.14,1,75
211583,"The Happy Little Cottage, South Mission Beach",1090651,J-Me & Clark,,Mission Bay,32.767350076141,-117.24927925755618,Entire home/apt,165,3,96,2018-10-01,1.36,1,109
213653,BEAUTIFUL OCEAN VIEW & TORREY PINES SERENITY,660996,Kathy,,Torrey Pines,32.925903986371104,-117.2495894396146,Entire home/apt,500,4,23,2018-09-04,0.30,1,161
227691,GORGEOUS 2B/2B IN LITTLE ITALY!!,28107,Lindsay,,Little Italy,32.72177028810796,-117.16915496923893,Entire home/apt,330,3,43,2018-02-24,0.51,1,174
234325,"Central, Modern & Comfortable San Diego Studio Apt",1227011,Maurice,,East Village,32.71583359742381,-117.15304247178392,Entire home/apt,175,3,9,2018-10-07,3.21,1,41
241210,Room for rent in North Park Home near DT San Diego,1265742,Deborah,,North Hills,32.75734336799335,-117.13668675467116,Private room,60,1,62,2018-10-02,0.73,1,161
244653,PRIVATE ROOM + BATHROOM + BREAKFAST,1152915,Leticia,,Mountain View,32.69742624139721,-117.10602223607194,Private room,50,2,27,2018-09-02,0.32,1,361
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,,Linda Vista,32.79432106516098,-117.17451989831328,Entire home/apt,89,31,57,2018-06-02,0.85,7,347
252289,Private oasis w/ jacuzzi -3bedrooms,861840,Catherine,,Old Town,32.75295819473756,-117.17757807736734,Entire home/apt,135,2,201,2018-09-16,2.64,1,336
256585,San Diego Balboa Park Guest Room,1349966,Dana,,Park West,32.72783857430428,-117.16102396703144,Private room,80,2,96,2018-09-23,1.20,2,349
269843,Artist retreat Twin Corner bedroom - pool home,766039,Pamela,,Bird Land,32.78127102847729,-117.16012297167742,Private room,75,3,75,2018-09-24,0.98,8,86
272822,★70s VIBE★HUGE UNIQUE WOOD-PANELED ROOM with PATIO,1427811,Angela,,Darnall,32.750406628988394,-117.06613381678282,Private room,59,1,33,2018-08-14,0.41,2,14
273134,Artist retreat Master bedroom/bath - pool home,766039,Pamela,,Bird Land,32.78133226842395,-117.16072286368528,Private room,85,4,49,2018-09-25,0.63,8,67
274943,"Luxury, Economy, Full, Private, Upgraded!",710122,Kelly,,Grant Hill,32.709221826488566,-117.14333674174739,Entire home/apt,99,7,8,2018-06-30,0.10,11,179
275539,"Bright, One Bedroom with Balcony.  Roomy Kitchen!",710122,Kelly,,Grant Hill,32.7086218617361,-117.14266356836926,Entire home/apt,79,7,6,2018-01-02,0.07,11,123
275557,"Bright, Ground Level, Designer, Studio Suite",710122,Kelly,,Grant Hill,32.708076023249866,-117.14405390783904,Entire home/apt,69,3,7,2018-07-14,0.11,11,180
275560,Spacious and Elegant!  Separate Work Area.,710122,Kelly,,Grant Hill,32.709219713683794,-117.14228755137181,Entire home/apt,79,7,3,2017-11-08,0.04,11,201
275566,Spacious and Elegant!  Convenient Location!,710122,Kelly,,Grant Hill,32.70780067859775,-117.14368649255537,Entire home/apt,99,7,5,2018-06-07,0.11,11,154
